City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
575,Vista Hermosa,MX,74.59,scattered clouds,19.5167,-99.2167,Krystal Satélite María Bárbara
576,Igunga,TZ,72.72,overcast clouds,-4.2833,33.8833,Serena Lodge
577,Mahon,ES,68.56,few clouds,39.8885,4.2658,ARTIEM Capri
578,Pitimbu,BR,77.59,clear sky,-7.4706,-34.8086,Reserva do Abiaí
586,Lobatse,BW,66.97,few clouds,-25.2167,25.6667,Swinburn's Rest
588,Amapa,BR,72.01,clear sky,1.0,-52.0,
589,Nueva Loja,EC,69.46,overcast clouds,0.0847,-76.8828,Limoncocha Great Hotel
591,Lazaro Cardenas,MX,80.74,scattered clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
592,Akyab,MM,79.92,overcast clouds,20.15,92.9,ဟိုတယ် မန်မိုရီ
593,Beziers,FR,67.48,overcast clouds,43.3476,3.219,Hôtel Terminus
