City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
258,Riyadh,SA,24.6877,46.7219,71.74,20,2,4.32,clear sky
259,Etne,NO,59.6648,5.9326,52.74,90,92,6.73,light rain
260,Sirjan,IR,29.452,55.6814,61.86,31,0,5.28,clear sky
261,Mizan Teferi,ET,6.9833,35.5833,58.77,95,59,3.31,light rain
262,Xingcheng,CN,40.6167,120.7167,53.82,24,100,21.56,overcast clouds
263,Wonthaggi,AU,-38.6044,145.5913,56.82,64,18,10.83,few clouds
264,Trincomalee,LK,8.5711,81.2335,78.49,81,97,11.68,overcast clouds
265,Mahanje,TZ,-9.9333,35.3333,59.04,60,18,3.69,few clouds
266,Sola,VU,-13.8833,167.55,84.87,74,100,9.22,overcast clouds
267,Neiafu,TO,-18.65,-173.9833,83.08,83,20,11.5,few clouds
268,Rangapara,IN,26.8167,92.65,70.52,85,0,4.34,clear sky
269,Pierre,US,44.3683,-100.351,60.06,51,75,11.5,broken clouds
270,Vaasa,FI,63.096,21.6158,50.29,100,100,4.61,overcast clouds
271,Suntar,RU,62.1444,117.6319,30.97,95,100,7.81,light snow
272,Gengenbach,DE,48.4,8.0167,63.63,89,99,4.63,overcast clouds
273,Srivardhan,IN,18.0333,73.0167,75.94,73,64,6.82,broken clouds
274,Lumphat,KH,13.4878,106.9816,74.21,87,100,1.45,overcast clouds
275,Sitka,US,57.0531,-135.33,57.09,88,75,11.5,broken clouds
276,Mosquera,CO,4.7059,-74.2302,55.49,94,40,6.91,scattered clouds
277,Taoudenni,ML,22.6783,-3.9836,90.14,9,97,10.63,overcast clouds
278,Dingle,PH,10.9995,122.6711,79.9,85,100,11.3,overcast clouds
279,Manggar,ID,-2.8833,108.2667,81.1,80,100,5.57,overcast clouds
280,Cabo San Lucas,MX,22.8909,-109.9124,83.5,67,2,8.01,clear sky
281,Najran,SA,17.4924,44.1277,65.05,25,100,2.51,overcast clouds
282,Itaueira,BR,-7.6033,-43.0256,81.88,28,4,5.7,clear sky
283,Okato,NZ,-39.2,173.8833,63.91,100,43,12.35,scattered clouds
284,Saint-Denis,FR,48.9167,2.3333,60.12,92,0,6.91,clear sky
285,Khatanga,RU,71.9667,102.5,25.68,88,100,13.0,overcast clouds
286,Mersing,MY,2.4312,103.8405,75.11,100,40,3.44,heavy intensity rain
